skill,model,pr_auc,roc_auc,f1,threshold
sql,catboost,0.36101568454305266,0.7823785373113108,0.3644859813084112,0.1261
sql,xgboost,0.35356947166373115,0.7858226935962083,0.36904761904761907,0.1499
sql,lightgbm,0.3461117000325474,0.784175999367119,0.3688969258589512,0.2075
python,catboost,0.4536862247262324,0.8314457800356431,0.49159663865546216,0.226
python,xgboost,0.45427578308394884,0.8470625415221082,0.47032474804031354,0.3083
python,lightgbm,0.44797364950916907,0.8422609710637041,0.4707182320441989,0.2767
linux,catboost,0.3393390200765415,0.7823376526235281,0.3954154727793696,0.209
linux,xgboost,0.34054371652668486,0.794763917206732,0.3856749311294766,0.2264
linux,lightgbm,0.33968296685371324,0.7944951345824189,0.3866279069767442,0.2705
postgresql,catboost,0.3447660825634981,0.8737528912210446,0.41731409544950054,0.1458
postgresql,xgboost,0.36838011558111905,0.8758210971872207,0.42757009345794394,0.1696
postgresql,lightgbm,0.36103028426187384,0.872674796607634,0.41418439716312055,0.2361
аналитическое мышление,catboost,0.10534743541798273,0.6811757355079879,0.15913555992141454,0.0749
аналитическое мышление,xgboost,0.12753932993740774,0.6972145316915697,0.1358936484490399,0.1
аналитическое мышление,lightgbm,0.12985001094853954,0.7077165946689361,0.1633085896076352,0.09
git,catboost,0.32712697779520955,0.8491630574371113,0.36336779911373707,0.1494
git,xgboost,0.33513897183014785,0.8547222152275914,0.3780821917808219,0.1559
git,lightgbm,0.3195506912679281,0.8532103257539514,0.370197904540163,0.119
деловая коммуникация,catboost,0.10717453431844556,0.7212351381248563,0.12316715542521994,0.1648
деловая коммуникация,xgboost,0.10161637265256333,0.7186516248202186,0.13807982740021574,0.0738
деловая коммуникация,lightgbm,0.09681175500581594,0.7097786108797943,0.12048192771084337,0.1425
работа с большим объемом информации,catboost,0.09004768644768542,0.7252221551483522,0.14561294337274425,0.059
работа с большим объемом информации,xgboost,0.08324758381565327,0.7187987010879539,0.13636363636363635,0.0591
работа с большим объемом информации,lightgbm,0.08830615792146732,0.7183407891545683,0.13223987698616094,0.0588
docker,catboost,0.30472581727976533,0.85918867233217,0.35856573705179284,0.2294
docker,xgboost,0.2853417692929725,0.8728612680956949,0.3726937269372694,0.1996
docker,lightgbm,0.29954579325788644,0.8769400482903325,0.3648881239242685,0.1742
1с программирование,catboost,0.11665898709305704,0.7745125676562244,0.1801470588235294,0.0782
1с программирование,xgboost,0.13642303495233907,0.8009830654420207,0.18316831683168316,0.1365
1с программирование,lightgbm,0.13273448514445765,0.8036782092285824,0.18736383442265794,0.1282
организаторские навыки,catboost,0.10064824500158856,0.7476064925890856,0.15,0.0789
организаторские навыки,xgboost,0.09999601285551374,0.7370630360819808,0.13191489361702127,0.0629
организаторские навыки,lightgbm,0.10043274409546578,0.7399376972176539,0.13190184049079753,0.0707
javascript,catboost,0.45295186736676735,0.8783937788059547,0.5141509433962265,0.2052
javascript,xgboost,0.4269855900966282,0.8952803424015119,0.5145228215767634,0.1393
javascript,lightgbm,0.446757430754104,0.8933548381591186,0.5130641330166271,0.2382
английский язык,catboost,0.09784484101744731,0.7006398336601528,0.18181818181818182,0.0641
английский язык,xgboost,0.09089286282510023,0.6949666982216512,0.17369727047146402,0.1093
английский язык,lightgbm,0.0831949559420721,0.7043643079315708,0.1619047619047619,0.104
бизнес-анализ,catboost,0.11036849310785458,0.7471201899050475,0.15570469798657718,0.0478
бизнес-анализ,xgboost,0.1321749630847145,0.7708074534161491,0.14285714285714285,0.0503
бизнес-анализ,lightgbm,0.13016285343406525,0.7763158599271793,0.16766467065868262,0.0924
деловая переписка,catboost,0.05697001740967384,0.7197480715131436,0.1012075905692927,0.0451
деловая переписка,xgboost,0.06032195953186773,0.7241521189433948,0.0927536231884058,0.0569
деловая переписка,lightgbm,0.07221106716381161,0.7273089215034501,0.09857612267250822,0.0444
управление командой,catboost,0.1273766062920792,0.774965494422386,0.15873015873015872,0.1752
управление командой,xgboost,0.12749319930675487,0.7661954055587068,0.17266187050359713,0.1524
управление командой,lightgbm,0.12183794200930458,0.75886037058045,0.19571865443425077,0.1207
1с: предприятие 8,catboost,0.08648255100558762,0.7677195249779641,0.13566739606126915,0.0652
1с: предприятие 8,xgboost,0.08935077206959718,0.7740503728232128,0.12783505154639174,0.0823
1с: предприятие 8,lightgbm,0.0885407144788491,0.7792158999769715,0.1322314049586777,0.0707
java,catboost,0.5105983317123403,0.8549839113783083,0.5618729096989966,0.2865
java,xgboost,0.5165817868420384,0.8560335459553214,0.554140127388535,0.2534
java,lightgbm,0.5339378914292693,0.8675155183250508,0.5523809523809524,0.2446
разработка технических заданий,catboost,0.09756958272427603,0.7074277167055045,0.15606936416184972,0.0551
разработка технических заданий,xgboost,0.11888505058780768,0.7351133326210642,0.16722408026755853,0.088
разработка технических заданий,lightgbm,0.11640946245229457,0.7355902642422563,0.1509433962264151,0.0925
деловое общение,catboost,0.08130108135000313,0.7781171670699552,0.13838120104438642,0.0513
деловое общение,xgboost,0.08118951048380564,0.7657378700250259,0.12563323201621074,0.0483
деловое общение,lightgbm,0.0796771074339384,0.7730971867789759,0.12300683371298406,0.0533
